Demand for California (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389936&sdid=EBA.CAL-ALL.D.H
04:20:22 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.D.H megawatthours
07/10/2022 22H,35197
07/10/2022 21H,33066
07/10/2022 20H,31145
07/10/2022 19H,30198
07/10/2022 18H,29526
07/10/2022 17H,29171
07/10/2022 16H,28485
07/10/2022 15H,27519
07/10/2022 14H,27115
07/10/2022 13H,27401
07/10/2022 12H,27924
07/10/2022 11H,28871
07/10/2022 10H,30147
07/10/2022 09H,31935
07/10/2022 08H,33931
07/10/2022 07H,36496
07/10/2022 06H,38949
07/10/2022 05H,40589
07/10/2022 04H,41862
07/10/2022 03H,42435
07/10/2022 02H,41744
07/10/2022 01H,40228
07/10/2022 00H,38230
07/9/2022 23H,36057
07/9/2022 22H,33997
07/9/2022 21H,32566
07/9/2022 20H,32199
07/9/2022 19H,31751
07/9/2022 18H,31429
07/9/2022 17H,31185
07/9/2022 16H,29896
07/9/2022 15H,28743
07/9/2022 14H,28460
07/9/2022 13H,28384
07/9/2022 12H,28743
07/9/2022 11H,29434
07/9/2022 10H,30683
07/9/2022 09H,32386
07/9/2022 08H,34550
07/9/2022 07H,36976
07/9/2022 06H,40155
07/9/2022 05H,41762
07/9/2022 04H,43098
07/9/2022 03H,44014
07/9/2022 02H,44071
07/9/2022 01H,43093
07/9/2022 00H,41813
07/8/2022 23H,39868
07/8/2022 22H,37674
07/8/2022 21H,35941
07/8/2022 20H,34484
07/8/2022 19H,34147
07/8/2022 18H,33721
07/8/2022 17H,33450
07/8/2022 16H,32171
07/8/2022 15H,30572
07/8/2022 14H,29544
07/8/2022 13H,28818
07/8/2022 12H,28841
07/8/2022 11H,29427
07/8/2022 10H,30165
07/8/2022 09H,31860
07/8/2022 08H,33907
07/8/2022 07H,36594
07/8/2022 06H,39377
07/8/2022 05H,40883
07/8/2022 04H,42118
07/8/2022 03H,43015
07/8/2022 02H,42778
07/8/2022 01H,41522
07/8/2022 00H,39722
07/7/2022 23H,37983
07/7/2022 22H,35606
07/7/2022 21H,34152
07/7/2022 20H,33406
07/7/2022 19H,32954
07/7/2022 18H,32962
07/7/2022 17H,33074
07/7/2022 16H,31747
07/7/2022 15H,30150
07/7/2022 14H,29091
07/7/2022 13H,28300
07/7/2022 12H,28452
07/7/2022 11H,28707
07/7/2022 10H,29790
07/7/2022 09H,31334
07/7/2022 08H,33234
07/7/2022 07H,35880
07/7/2022 06H,38697
07/7/2022 05H,40029
07/7/2022 04H,40845
07/7/2022 03H,41145
07/7/2022 02H,40563
07/7/2022 01H,39328
07/7/2022 00H,37808
07/6/2022 23H,35884
07/6/2022 22H,34406
07/6/2022 21H,33611
07/6/2022 20H,33346
07/6/2022 19H,33336
07/6/2022 18H,33282
07/6/2022 17H,32869
07/6/2022 16H,31709
07/6/2022 15H,30279
07/6/2022 14H,29241
07/6/2022 13H,28394
07/6/2022 12H,28330
07/6/2022 11H,28762
07/6/2022 10H,29690
07/6/2022 09H,31219
07/6/2022 08H,33102
07/6/2022 07H,35745
07/6/2022 06H,38449
07/6/2022 05H,39897
07/6/2022 04H,40694
07/6/2022 03H,41196
07/6/2022 02H,40786
07/6/2022 01H,39748
07/6/2022 00H,38685
07/5/2022 23H,37276
07/5/2022 22H,36009
07/5/2022 21H,34602
07/5/2022 20H,33962
07/5/2022 19H,33406
07/5/2022 18H,33178
07/5/2022 17H,32516
07/5/2022 16H,31076
07/5/2022 15H,29435
07/5/2022 14H,28268
07/5/2022 13H,27355
07/5/2022 12H,27123
07/5/2022 11H,27198
07/5/2022 10H,27906
07/5/2022 09H,29271
07/5/2022 08H,30915
07/5/2022 07H,32696
07/5/2022 06H,33934
07/5/2022 05H,34743
07/5/2022 04H,35191
07/5/2022 03H,35320
07/5/2022 02H,34533
07/5/2022 01H,32942
07/5/2022 00H,31015
07/4/2022 23H,29278
07/4/2022 22H,27731
07/4/2022 21H,26662
07/4/2022 20H,26431
07/4/2022 19H,26315
07/4/2022 18H,26625
07/4/2022 17H,27208
07/4/2022 16H,27353
07/4/2022 15H,26201
07/4/2022 14H,25679
07/4/2022 13H,25647
07/4/2022 12H,25731
07/4/2022 11H,26103
07/4/2022 10H,27009
07/4/2022 09H,28159
07/4/2022 08H,29782
07/4/2022 07H,31283
07/4/2022 06H,32937
07/4/2022 05H,33362
07/4/2022 04H,33521
07/4/2022 03H,33376
07/4/2022 02H,32451
07/4/2022 01H,30576
07/4/2022 00H,28908
07/3/2022 23H,27446
07/3/2022 22H,26939
07/3/2022 21H,26575
07/3/2022 20H,26523
07/3/2022 19H,26681
07/3/2022 18H,27149
07/3/2022 17H,27589
07/3/2022 16H,27292
07/3/2022 15H,26260
07/3/2022 14H,25867
07/3/2022 13H,25844
07/3/2022 12H,26161
07/3/2022 11H,26816
07/3/2022 10H,27852
07/3/2022 09H,29282
07/3/2022 08H,30935
07/3/2022 07H,30389
07/3/2022 06H,32267
07/3/2022 05H,33111
07/3/2022 04H,33639
07/3/2022 03H,33827
07/3/2022 02H,36236
07/3/2022 01H,35278
07/3/2022 00H,33833
07/2/2022 23H,32550
07/2/2022 22H,31228
07/2/2022 21H,30283
07/2/2022 20H,30184
07/2/2022 19H,30234
07/2/2022 18H,30182
07/2/2022 17H,30121
07/2/2022 16H,29300
07/2/2022 15H,27966
07/2/2022 14H,27776
07/2/2022 13H,27691
07/2/2022 12H,28128
07/2/2022 11H,29030
07/2/2022 10H,30292
07/2/2022 09H,31862
07/2/2022 08H,33798
07/2/2022 07H,36472
07/2/2022 06H,38918
07/2/2022 05H,39870
07/2/2022 04H,41827
07/2/2022 03H,42880
07/2/2022 02H,42764
07/2/2022 01H,41753
07/2/2022 00H,40528
07/1/2022 23H,38619
07/1/2022 22H,37098
07/1/2022 21H,35897
07/1/2022 20H,34861
07/1/2022 19H,34615
07/1/2022 18H,34515
07/1/2022 17H,33969
07/1/2022 16H,32846
07/1/2022 15H,31260
07/1/2022 14H,30168
07/1/2022 13H,29204
07/1/2022 12H,29556
07/1/2022 11H,29971
07/1/2022 10H,31090
07/1/2022 09H,32393
07/1/2022 08H,34702
07/1/2022 07H,37753
07/1/2022 06H,40602
07/1/2022 05H,40734
07/1/2022 04H,43625
07/1/2022 03H,44819
07/1/2022 02H,45047
07/1/2022 01H,44040
07/1/2022 00H,42593
06/30/2022 23H,40619
06/30/2022 22H,38872
06/30/2022 21H,37598
06/30/2022 20H,36556
06/30/2022 19H,35815
06/30/2022 18H,35776
06/30/2022 17H,34847
06/30/2022 16H,33812
06/30/2022 15H,31951
06/30/2022 14H,30506
06/30/2022 13H,29772
06/30/2022 12H,29792
06/30/2022 11H,30319
06/30/2022 10H,31576
06/30/2022 09H,33409
06/30/2022 08H,35874
06/30/2022 07H,36694
