Demand for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389946&sdid=EBA.SW-ALL.D.H
04:14:53 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.D.H megawatthours
07/17/2022 22H,21832
07/17/2022 21H,20899
07/17/2022 20H,19913
07/17/2022 19H,18761
07/17/2022 18H,17554
07/17/2022 17H,16172
07/17/2022 16H,14930
07/17/2022 15H,13871
07/17/2022 14H,12947
07/17/2022 13H,12616
07/17/2022 12H,12974
07/17/2022 11H,13320
07/17/2022 10H,13808
07/17/2022 09H,14528
07/17/2022 08H,15241
07/17/2022 07H,16308
07/17/2022 06H,17626
07/17/2022 05H,18934
07/17/2022 04H,20352
07/17/2022 03H,21577
07/17/2022 02H,22765
07/17/2022 01H,23595
07/17/2022 00H,23758
07/16/2022 23H,23318
07/16/2022 22H,22402
07/16/2022 21H,21370
07/16/2022 20H,20277
07/16/2022 19H,19165
07/16/2022 18H,18050
07/16/2022 17H,16799
07/16/2022 16H,15612
07/16/2022 15H,14574
07/16/2022 14H,13725
07/16/2022 13H,13602
07/16/2022 12H,13847
07/16/2022 11H,14155
07/16/2022 10H,14653
07/16/2022 09H,15187
07/16/2022 08H,15975
07/16/2022 07H,17082
07/16/2022 06H,18396
07/16/2022 05H,19735
07/16/2022 04H,21017
07/16/2022 03H,21931
07/16/2022 02H,22801
07/16/2022 01H,23341
07/16/2022 00H,23317
07/15/2022 23H,22957
07/15/2022 22H,22441
07/15/2022 21H,21446
07/15/2022 20H,20222
07/15/2022 19H,18939
07/15/2022 18H,17629
07/15/2022 17H,16351
07/15/2022 16H,15349
07/15/2022 15H,14591
07/15/2022 14H,13869
07/15/2022 13H,13459
07/15/2022 12H,13288
07/15/2022 11H,13326
07/15/2022 10H,13632
07/15/2022 09H,14204
07/15/2022 08H,14848
07/15/2022 07H,15793
07/15/2022 06H,17010
07/15/2022 05H,18508
07/15/2022 04H,20122
07/15/2022 03H,21049
07/15/2022 02H,21903
07/15/2022 01H,22483
07/15/2022 00H,22746
07/14/2022 23H,22792
07/14/2022 22H,22446
07/14/2022 21H,21579
07/14/2022 20H,20429
07/14/2022 19H,19228
07/14/2022 18H,18011
07/14/2022 17H,16908
07/14/2022 16H,15939
07/14/2022 15H,15263
07/14/2022 14H,14582
07/14/2022 13H,14393
07/14/2022 12H,14272
07/14/2022 11H,14301
07/14/2022 10H,14742
07/14/2022 09H,15432
07/14/2022 08H,16086
07/14/2022 07H,16917
07/14/2022 06H,18033
07/14/2022 05H,19391
07/14/2022 04H,20758
07/14/2022 03H,21841
07/14/2022 02H,22666
07/14/2022 01H,23260
07/14/2022 00H,23228
07/13/2022 23H,23067
07/13/2022 22H,22921
07/13/2022 21H,22183
07/13/2022 20H,20901
07/13/2022 19H,19825
07/13/2022 18H,18474
07/13/2022 17H,17179
07/13/2022 16H,16087
07/13/2022 15H,15186
07/13/2022 14H,14560
07/13/2022 13H,14186
07/13/2022 12H,14043
07/13/2022 11H,14029
07/13/2022 10H,14424
07/13/2022 09H,14971
07/13/2022 08H,15629
07/13/2022 07H,16563
07/13/2022 06H,17854
07/13/2022 05H,19074
07/13/2022 04H,20280
07/13/2022 03H,21124
07/13/2022 02H,22209
07/13/2022 01H,22983
07/13/2022 00H,23022
07/12/2022 23H,22870
07/12/2022 22H,22614
07/12/2022 21H,21856
07/12/2022 20H,20749
07/12/2022 19H,19692
07/12/2022 18H,18543
07/12/2022 17H,17388
07/12/2022 16H,16345
07/12/2022 15H,15478
07/12/2022 14H,14629
07/12/2022 13H,14189
07/12/2022 12H,14200
07/12/2022 11H,14346
07/12/2022 10H,14842
07/12/2022 09H,15584
07/12/2022 08H,16370
07/12/2022 07H,17321
07/12/2022 06H,18785
07/12/2022 05H,20287
07/12/2022 04H,21622
07/12/2022 03H,22808
07/12/2022 02H,23834
07/12/2022 01H,24163
07/12/2022 00H,24213
07/11/2022 23H,24093
07/11/2022 22H,23751
07/11/2022 21H,22918
07/11/2022 20H,21750
07/11/2022 19H,20603
07/11/2022 18H,19041
07/11/2022 17H,17417
07/11/2022 16H,16071
07/11/2022 15H,14965
07/11/2022 14H,13950
07/11/2022 13H,13335
07/11/2022 12H,13353
07/11/2022 11H,13568
07/11/2022 10H,13989
07/11/2022 09H,14660
07/11/2022 08H,15473
07/11/2022 07H,16514
07/11/2022 06H,17918
07/11/2022 05H,19485
07/11/2022 04H,20825
07/11/2022 03H,21754
07/11/2022 02H,22573
07/11/2022 01H,22882
07/11/2022 00H,22748
07/10/2022 23H,22126
07/10/2022 22H,21386
07/10/2022 21H,20484
07/10/2022 20H,19492
07/10/2022 19H,18277
07/10/2022 18H,16958
07/10/2022 17H,15804
07/10/2022 16H,14427
07/10/2022 15H,13398
07/10/2022 14H,12769
07/10/2022 13H,12743
07/10/2022 12H,13069
07/10/2022 11H,13446
07/10/2022 10H,13927
07/10/2022 09H,14467
07/10/2022 08H,15378
07/10/2022 07H,15969
07/10/2022 06H,17151
07/10/2022 05H,18435
07/10/2022 04H,19649
07/10/2022 03H,20785
07/10/2022 02H,21822
07/10/2022 01H,22463
07/10/2022 00H,22405
07/9/2022 23H,22061
07/9/2022 22H,21371
07/9/2022 21H,20454
07/9/2022 20H,19583
07/9/2022 19H,18568
07/9/2022 18H,17228
07/9/2022 17H,15906
07/9/2022 16H,14631
07/9/2022 15H,13314
07/9/2022 14H,12532
07/9/2022 13H,12217
07/9/2022 12H,12473
07/9/2022 11H,12793
07/9/2022 10H,13356
07/9/2022 09H,14167
07/9/2022 08H,15097
07/9/2022 07H,15438
07/9/2022 06H,16729
07/9/2022 05H,18145
07/9/2022 04H,19487
