Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
06/2/2022 04H,10730
06/2/2022 03H,11740
06/2/2022 02H,12833
06/2/2022 01H,13485
06/2/2022 00H,13618
06/1/2022 23H,13667
06/1/2022 22H,13485
06/1/2022 21H,13182
06/1/2022 20H,12997
06/1/2022 19H,13253
06/1/2022 18H,13018
06/1/2022 17H,12707
06/1/2022 16H,12754
06/1/2022 15H,12655
06/1/2022 14H,12606
06/1/2022 13H,12638
06/1/2022 12H,12448
06/1/2022 11H,11670
06/1/2022 10H,10937
06/1/2022 09H,10937
06/1/2022 08H,10784
06/1/2022 07H,10879
06/1/2022 06H,10951
06/1/2022 05H,11204
06/1/2022 04H,11825
06/1/2022 03H,13121
06/1/2022 02H,14551
06/1/2022 01H,15528
06/1/2022 00H,16057
05/31/2022 23H,16522
05/31/2022 22H,16524
05/31/2022 21H,15975
05/31/2022 20H,15317
05/31/2022 19H,14903
05/31/2022 18H,14717
05/31/2022 17H,14655
05/31/2022 16H,14710
05/31/2022 15H,14418
05/31/2022 14H,14538
05/31/2022 13H,14555
05/31/2022 12H,14228
05/31/2022 11H,13232
05/31/2022 10H,12317
05/31/2022 09H,12036
05/31/2022 08H,11814
05/31/2022 07H,11789
05/31/2022 06H,12166
05/31/2022 05H,12569
05/31/2022 04H,13405
05/31/2022 03H,14709
05/31/2022 02H,16104
05/31/2022 01H,16875
05/31/2022 00H,17130
05/30/2022 23H,17245
05/30/2022 22H,16647
05/30/2022 21H,15374
05/30/2022 20H,14018
05/30/2022 19H,13039
05/30/2022 18H,12421
05/30/2022 17H,11795
05/30/2022 16H,11206
05/30/2022 15H,10727
05/30/2022 14H,10373
05/30/2022 13H,10109
05/30/2022 12H,9917
05/30/2022 11H,9849
05/30/2022 10H,9758
05/30/2022 09H,9712
05/30/2022 08H,9719
05/30/2022 07H,9766
05/30/2022 06H,9910
05/30/2022 05H,10488
05/30/2022 04H,11265
05/30/2022 03H,12213
05/30/2022 02H,13068
05/30/2022 01H,13504
05/30/2022 00H,13682
05/29/2022 23H,13669
05/29/2022 22H,13199
05/29/2022 21H,12154
05/29/2022 20H,11233
05/29/2022 19H,10663
05/29/2022 18H,10323
05/29/2022 17H,10158
05/29/2022 16H,9956
05/29/2022 15H,9758
05/29/2022 14H,9907
05/29/2022 13H,9738
05/29/2022 12H,9986
05/29/2022 11H,9548
05/29/2022 10H,9436
05/29/2022 09H,9504
05/29/2022 08H,9561
05/29/2022 07H,9766
05/29/2022 06H,10161
05/29/2022 05H,10739
05/29/2022 04H,11431
05/29/2022 03H,12227
05/29/2022 02H,13093
05/29/2022 01H,13508
05/29/2022 00H,13546
05/28/2022 23H,13614
05/28/2022 22H,13416
05/28/2022 21H,13268
05/28/2022 20H,13275
05/28/2022 19H,13228
05/28/2022 18H,12971
05/28/2022 17H,12662
05/28/2022 16H,12590
05/28/2022 15H,12514
05/28/2022 14H,12510
05/28/2022 13H,11887
05/28/2022 12H,11720
05/28/2022 11H,11277
05/28/2022 10H,10994
05/28/2022 09H,10896
05/28/2022 08H,10910
05/28/2022 07H,10938
05/28/2022 06H,11201
05/28/2022 05H,11733
05/28/2022 04H,12325
05/28/2022 03H,13344
05/28/2022 02H,14378
05/28/2022 01H,15080
05/28/2022 00H,15309
05/27/2022 23H,15566
05/27/2022 22H,15680
05/27/2022 21H,15160
05/27/2022 20H,14260
05/27/2022 19H,13652
05/27/2022 18H,13504
05/27/2022 17H,13384
05/27/2022 16H,13530
05/27/2022 15H,13510
05/27/2022 14H,13329
05/27/2022 13H,13113
05/27/2022 12H,12662
05/27/2022 11H,11658
05/27/2022 10H,10820
05/27/2022 09H,10204
05/27/2022 08H,9983
05/27/2022 07H,10051
05/27/2022 06H,10279
05/27/2022 05H,10718
05/27/2022 04H,11084
05/27/2022 03H,12102
05/27/2022 02H,13137
05/27/2022 01H,13686
05/27/2022 00H,13611
05/26/2022 23H,13442
05/26/2022 22H,12965
05/26/2022 21H,12042
05/26/2022 20H,11151
05/26/2022 19H,11067
05/26/2022 18H,10861
05/26/2022 17H,10712
05/26/2022 16H,10787
05/26/2022 15H,10812
05/26/2022 14H,10955
05/26/2022 13H,11399
05/26/2022 12H,11557
05/26/2022 11H,10943
05/26/2022 10H,10251
05/26/2022 09H,9726
05/26/2022 08H,9508
05/26/2022 07H,9565
05/26/2022 06H,9803
05/26/2022 05H,10263
05/26/2022 04H,10670
05/26/2022 03H,11736
05/26/2022 02H,12881
05/26/2022 01H,13563
05/26/2022 00H,13571
05/25/2022 23H,13481
05/25/2022 22H,12948
05/25/2022 21H,12024
05/25/2022 20H,11255
05/25/2022 19H,10798
05/25/2022 18H,10798
05/25/2022 17H,10511
05/25/2022 16H,10434
05/25/2022 15H,10413
05/25/2022 14H,10450
05/25/2022 13H,10971
05/25/2022 12H,11330
05/25/2022 11H,10922
05/25/2022 10H,10258
05/25/2022 09H,9705
05/25/2022 08H,9449
05/25/2022 07H,9513
05/25/2022 06H,9754
05/25/2022 05H,10178
05/25/2022 04H,10700
05/25/2022 03H,11589
05/25/2022 02H,12724
05/25/2022 01H,13381
05/25/2022 00H,13389
05/24/2022 23H,13263
05/24/2022 22H,12702
05/24/2022 21H,11956
05/24/2022 20H,11203
05/24/2022 19H,10691
05/24/2022 18H,10463
05/24/2022 17H,10294
05/24/2022 16H,10130
05/24/2022 15H,10348
