Demand for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389944&sdid=EBA.NW-ALL.D.H
04:14:35 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.D.H megawatthours
07/9/2022 08H,38826
07/9/2022 07H,41136
07/9/2022 06H,44067
07/9/2022 05H,47303
07/9/2022 04H,49547
07/9/2022 03H,51746
07/9/2022 02H,53526
07/9/2022 01H,54450
07/9/2022 00H,54370
07/8/2022 23H,53856
07/8/2022 22H,52525
07/8/2022 21H,51264
07/8/2022 20H,49844
07/8/2022 19H,48319
07/8/2022 18H,46520
07/8/2022 17H,44639
07/8/2022 16H,42646
07/8/2022 15H,40597
07/8/2022 14H,38358
07/8/2022 13H,36114
07/8/2022 12H,35007
07/8/2022 11H,34595
07/8/2022 10H,34999
07/8/2022 09H,35981
07/8/2022 08H,37578
07/8/2022 07H,40391
07/8/2022 06H,43115
07/8/2022 05H,46323
07/8/2022 04H,48621
07/8/2022 03H,50514
07/8/2022 02H,52022
07/8/2022 01H,52886
07/8/2022 00H,52906
07/7/2022 23H,52343
07/7/2022 22H,51602
07/7/2022 21H,50496
07/7/2022 20H,49302
07/7/2022 19H,47981
07/7/2022 18H,46071
07/7/2022 17H,44039
07/7/2022 16H,42275
07/7/2022 15H,40341
07/7/2022 14H,38216
07/7/2022 13H,36321
07/7/2022 12H,35180
07/7/2022 11H,34885
07/7/2022 10H,35129
07/7/2022 09H,35720
07/7/2022 08H,37098
07/7/2022 07H,39374
07/7/2022 06H,42335
07/7/2022 05H,45577
07/7/2022 04H,47451
07/7/2022 03H,48832
07/7/2022 02H,50465
07/7/2022 01H,51236
07/7/2022 00H,51410
07/6/2022 23H,50959
07/6/2022 22H,50407
07/6/2022 21H,49757
07/6/2022 20H,48703
07/6/2022 19H,47192
07/6/2022 18H,45600
07/6/2022 17H,44110
07/6/2022 16H,42510
07/6/2022 15H,40700
07/6/2022 14H,38642
07/6/2022 13H,36897
07/6/2022 12H,35702
07/6/2022 11H,35188
07/6/2022 10H,35139
07/6/2022 09H,35819
07/6/2022 08H,37178
07/6/2022 07H,39612
07/6/2022 06H,42386
07/6/2022 05H,45792
07/6/2022 04H,48214
07/6/2022 03H,49642
07/6/2022 02H,50850
07/6/2022 01H,51505
07/6/2022 00H,51798
07/5/2022 23H,51592
07/5/2022 22H,51030
07/5/2022 21H,50345
07/5/2022 20H,49307
07/5/2022 19H,47804
07/5/2022 18H,46085
07/5/2022 17H,44204
07/5/2022 16H,42236
07/5/2022 15H,40209
07/5/2022 14H,37844
07/5/2022 13H,35926
07/5/2022 12H,34887
07/5/2022 11H,34463
07/5/2022 10H,34938
07/5/2022 09H,35770
07/5/2022 08H,37119
07/5/2022 07H,39211
07/5/2022 06H,41082
07/5/2022 05H,43007
07/5/2022 04H,44941
07/5/2022 03H,46836
07/5/2022 02H,48221
07/5/2022 01H,48770
07/5/2022 00H,49078
07/4/2022 23H,48286
07/4/2022 22H,47230
07/4/2022 21H,46330
07/4/2022 20H,45262
07/4/2022 19H,44089
07/4/2022 18H,42540
07/4/2022 17H,40735
07/4/2022 16H,38777
07/4/2022 15H,36748
07/4/2022 14H,34935
07/4/2022 13H,34310
07/4/2022 12H,34294
07/4/2022 11H,34251
07/4/2022 10H,34584
07/4/2022 09H,35474
07/4/2022 08H,36837
07/4/2022 07H,38768
07/4/2022 06H,41163
07/4/2022 05H,43298
07/4/2022 04H,44517
07/4/2022 03H,45692
07/4/2022 02H,47062
07/4/2022 01H,47362
07/4/2022 00H,47301
07/3/2022 23H,47010
07/3/2022 22H,46712
07/3/2022 21H,46115
07/3/2022 20H,45209
07/3/2022 19H,44170
07/3/2022 18H,42848
07/3/2022 17H,40933
07/3/2022 16H,38849
07/3/2022 15H,36594
07/3/2022 14H,34763
07/3/2022 13H,34093
07/3/2022 12H,34296
07/3/2022 11H,34645
07/3/2022 10H,35389
07/3/2022 09H,36694
07/3/2022 08H,38203
07/3/2022 07H,40131
07/3/2022 06H,42240
07/3/2022 05H,44272
07/3/2022 04H,46255
07/3/2022 03H,47933
07/3/2022 02H,49322
07/3/2022 01H,49867
07/3/2022 00H,49875
07/2/2022 23H,49570
07/2/2022 22H,48862
07/2/2022 21H,47828
07/2/2022 20H,46528
07/2/2022 19H,45307
07/2/2022 18H,43604
07/2/2022 17H,41734
07/2/2022 16H,39707
07/2/2022 15H,37601
07/2/2022 14H,35945
07/2/2022 13H,34934
07/2/2022 12H,34976
07/2/2022 11H,35320
07/2/2022 10H,35894
07/2/2022 09H,36774
07/2/2022 08H,38392
07/2/2022 07H,40488
07/2/2022 06H,43344
07/2/2022 05H,46235
07/2/2022 04H,48508
07/2/2022 03H,50445
07/2/2022 02H,51897
07/2/2022 01H,52629
07/2/2022 00H,52484
07/1/2022 23H,51485
07/1/2022 22H,50562
07/1/2022 21H,49471
07/1/2022 20H,48378
07/1/2022 19H,47007
07/1/2022 18H,45590
07/1/2022 17H,44316
07/1/2022 16H,42848
07/1/2022 15H,41039
07/1/2022 14H,39027
07/1/2022 13H,37131
07/1/2022 12H,35817
07/1/2022 11H,35547
07/1/2022 10H,35828
07/1/2022 09H,36730
07/1/2022 08H,38098
07/1/2022 07H,39248
07/1/2022 06H,42262
07/1/2022 05H,45551
07/1/2022 04H,47710
07/1/2022 03H,49255
07/1/2022 02H,50618
07/1/2022 01H,51086
07/1/2022 00H,50899
06/30/2022 23H,50283
06/30/2022 22H,49572
06/30/2022 21H,48755
06/30/2022 20H,47527
06/30/2022 19H,46615
06/30/2022 18H,45640
06/30/2022 17H,44402
06/30/2022 16H,42864
06/30/2022 15H,41149
06/30/2022 14H,39225
06/30/2022 13H,37346
06/30/2022 12H,36090
06/30/2022 11H,35563
06/30/2022 10H,35456
06/30/2022 09H,36448
06/30/2022 08H,37929
06/30/2022 07H,40128
06/30/2022 06H,43113
06/30/2022 05H,46146
06/30/2022 04H,49059
06/30/2022 03H,50284
06/30/2022 02H,51761
06/30/2022 01H,52294
06/30/2022 00H,52290
06/29/2022 23H,51637
06/29/2022 22H,50752
06/29/2022 21H,50413
06/29/2022 20H,49702
06/29/2022 19H,48418
06/29/2022 18H,47005
06/29/2022 17H,45440
06/29/2022 16H,43337
06/29/2022 15H,41676
06/29/2022 14H,39770
06/29/2022 13H,37715
06/29/2022 12H,36401
06/29/2022 11H,36013
06/29/2022 10H,36288
06/29/2022 09H,37503
06/29/2022 08H,38844
06/29/2022 07H,40820
06/29/2022 06H,43759
06/29/2022 05H,46771
06/29/2022 04H,49080
06/29/2022 03H,50864
06/29/2022 02H,52472
06/29/2022 01H,53363
06/29/2022 00H,53693
06/28/2022 23H,53321
06/28/2022 22H,52308
06/28/2022 21H,51243
06/28/2022 20H,49581
06/28/2022 19H,47812
06/28/2022 18H,46306
06/28/2022 17H,44775
06/28/2022 16H,43287
06/28/2022 15H,41226
06/28/2022 14H,38915
06/28/2022 13H,36973
06/28/2022 12H,35970
06/28/2022 11H,35672
06/28/2022 10H,36157
06/28/2022 09H,37405
06/28/2022 08H,39153
06/28/2022 07H,41394
06/28/2022 06H,44847
06/28/2022 05H,48737
06/28/2022 04H,51803
06/28/2022 03H,54183
06/28/2022 02H,56107
06/28/2022 01H,56836
06/28/2022 00H,56609
06/27/2022 23H,55569
06/27/2022 22H,54075
06/27/2022 21H,52343
06/27/2022 20H,50449
06/27/2022 19H,48350
06/27/2022 18H,46353
06/27/2022 17H,44433
06/27/2022 16H,42478
06/27/2022 15H,40281
06/27/2022 14H,38086
06/27/2022 13H,36298
06/27/2022 12H,35191
06/27/2022 11H,34782
06/27/2022 10H,35066
06/27/2022 09H,35888
06/27/2022 08H,37177
06/27/2022 07H,39436
06/27/2022 06H,42527
06/27/2022 05H,45631
06/27/2022 04H,47683
06/27/2022 03H,49266
06/27/2022 02H,50279
06/27/2022 01H,50498
06/27/2022 00H,49869
06/26/2022 23H,48629
06/26/2022 22H,47172
06/26/2022 21H,45649
06/26/2022 20H,44273
06/26/2022 19H,42762
06/26/2022 18H,41101
06/26/2022 17H,39264
06/26/2022 16H,37193
06/26/2022 15H,35094
06/26/2022 14H,33338
06/26/2022 13H,32449
06/26/2022 12H,32580
06/26/2022 11H,32837
06/26/2022 10H,33472
06/26/2022 09H,34482
06/26/2022 08H,36234
06/26/2022 07H,38485
