Demand for New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389943&sdid=EBA.NY-ALL.D.H
12:50:26 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.D.H megawatthours
05/21/2022 05H,14225
05/21/2022 04H,15032
05/21/2022 03H,15979
05/21/2022 02H,16828
05/21/2022 01H,17229
05/21/2022 00H,17377
05/20/2022 23H,17593
05/20/2022 22H,17561
05/20/2022 21H,17267
05/20/2022 20H,16722
05/20/2022 19H,16420
05/20/2022 18H,16476
05/20/2022 17H,16547
05/20/2022 16H,16217
05/20/2022 15H,15947
05/20/2022 14H,15761
05/20/2022 13H,15525
05/20/2022 12H,15012
05/20/2022 11H,14062
05/20/2022 10H,12994
05/20/2022 09H,12417
05/20/2022 08H,12242
05/20/2022 07H,12416
05/20/2022 06H,12720
05/20/2022 05H,13189
05/20/2022 04H,14001
05/20/2022 03H,15063
05/20/2022 02H,16067
05/20/2022 01H,16532
05/20/2022 00H,16540
05/19/2022 23H,16549
05/19/2022 22H,16401
05/19/2022 21H,16102
05/19/2022 20H,16218
05/19/2022 19H,16441
05/19/2022 18H,16692
05/19/2022 17H,16865
05/19/2022 16H,16817
05/19/2022 15H,16835
05/19/2022 14H,16654
05/19/2022 13H,16226
05/19/2022 12H,15497
05/19/2022 11H,14319
05/19/2022 10H,13129
05/19/2022 09H,12471
05/19/2022 08H,12389
05/19/2022 07H,12507
05/19/2022 06H,12771
05/19/2022 05H,13309
05/19/2022 04H,14057
05/19/2022 03H,15092
05/19/2022 02H,16096
05/19/2022 01H,16647
05/19/2022 00H,16666
05/18/2022 23H,16811
05/18/2022 22H,16813
05/18/2022 21H,16482
05/18/2022 20H,15934
05/18/2022 19H,15488
05/18/2022 18H,15185
05/18/2022 17H,14896
05/18/2022 16H,14837
05/18/2022 15H,14816
05/18/2022 14H,14891
05/18/2022 13H,14975
05/18/2022 12H,14808
05/18/2022 11H,14083
05/18/2022 10H,13016
05/18/2022 09H,12430
05/18/2022 08H,12312
05/18/2022 07H,12487
05/18/2022 06H,12807
05/18/2022 05H,13290
05/18/2022 04H,14155
05/18/2022 03H,15275
05/18/2022 02H,16396
05/18/2022 01H,16865
05/18/2022 00H,17002
05/17/2022 23H,17183
05/17/2022 22H,17098
05/17/2022 21H,16697
05/17/2022 20H,16454
05/17/2022 19H,16333
05/17/2022 18H,16334
05/17/2022 17H,16195
05/17/2022 16H,15941
05/17/2022 15H,15708
05/17/2022 14H,15661
05/17/2022 13H,15542
05/17/2022 12H,15152
05/17/2022 11H,14228
05/17/2022 10H,13115
05/17/2022 09H,12528
05/17/2022 08H,12408
05/17/2022 07H,12567
05/17/2022 06H,12941
05/17/2022 05H,13582
05/17/2022 04H,14507
05/17/2022 03H,15697
05/17/2022 02H,16798
05/17/2022 01H,17526
05/17/2022 00H,17857
05/16/2022 23H,18163
05/16/2022 22H,18451
05/16/2022 21H,18531
05/16/2022 20H,18309
05/16/2022 19H,18146
05/16/2022 18H,18362
05/16/2022 17H,18278
05/16/2022 16H,17961
05/16/2022 15H,17599
05/16/2022 14H,17192
05/16/2022 13H,16720
05/16/2022 12H,16039
05/16/2022 11H,14878
05/16/2022 10H,13713
05/16/2022 09H,13092
05/16/2022 08H,12998
05/16/2022 07H,13194
05/16/2022 06H,13518
05/16/2022 05H,14053
05/16/2022 04H,14884
05/16/2022 03H,15987
05/16/2022 02H,17075
05/16/2022 01H,17634
05/16/2022 00H,17745
05/15/2022 23H,17867
05/15/2022 22H,17642
05/15/2022 21H,17143
05/15/2022 20H,16663
05/15/2022 19H,16247
05/15/2022 18H,15941
05/15/2022 17H,15529
05/15/2022 16H,15189
05/15/2022 15H,14781
05/15/2022 14H,14386
05/15/2022 13H,13816
