Actual Net Interchange for New England (region) to New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390279&sdid=EBA.NE-NY.ID.H
14:48:25 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-NY.ID.H megawatthours
05/25/2022 02H,-350
05/25/2022 01H,-341
05/25/2022 00H,-334
05/24/2022 23H,-212
05/24/2022 22H,-106
05/24/2022 21H,83
05/24/2022 20H,482
05/24/2022 19H,519
05/24/2022 18H,568
05/24/2022 17H,611
05/24/2022 16H,614
05/24/2022 15H,592
05/24/2022 14H,587
05/24/2022 13H,237
05/24/2022 12H,7
05/24/2022 11H,151
05/24/2022 10H,257
05/24/2022 09H,338
05/24/2022 08H,241
05/24/2022 07H,154
05/24/2022 06H,280
05/24/2022 05H,299
05/24/2022 04H,-48
05/24/2022 03H,-216
05/24/2022 02H,-148
05/24/2022 01H,-376
05/24/2022 00H,-333
05/23/2022 23H,-77
05/23/2022 22H,99
05/23/2022 21H,159
05/23/2022 20H,157
05/23/2022 19H,194
05/23/2022 18H,167
05/23/2022 17H,58
05/23/2022 16H,160
05/23/2022 15H,174
05/23/2022 14H,213
05/23/2022 13H,59
05/23/2022 12H,163
05/23/2022 11H,57
05/23/2022 10H,-38
05/23/2022 09H,10
05/23/2022 08H,-3
05/23/2022 07H,-69
05/23/2022 06H,-84
05/23/2022 05H,-121
05/23/2022 04H,-275
05/23/2022 03H,-316
05/23/2022 02H,-455
05/23/2022 01H,-626
05/23/2022 00H,-676
05/22/2022 23H,-516
05/22/2022 22H,-353
05/22/2022 21H,-108
05/22/2022 20H,13
05/22/2022 19H,-51
05/22/2022 18H,-118
05/22/2022 17H,134
05/22/2022 16H,157
05/22/2022 15H,80
05/22/2022 14H,-192
05/22/2022 13H,-237
05/22/2022 12H,-369
05/22/2022 11H,-425
05/22/2022 10H,-288
05/22/2022 09H,-53
05/22/2022 08H,126
05/22/2022 07H,193
05/22/2022 06H,170
05/22/2022 05H,85
05/22/2022 04H,160
05/22/2022 03H,-7
05/22/2022 02H,165
05/22/2022 01H,206
05/22/2022 00H,219
05/21/2022 23H,181
05/21/2022 22H,172
05/21/2022 21H,231
05/21/2022 20H,150
05/21/2022 19H,237
05/21/2022 18H,149
05/21/2022 17H,72
05/21/2022 16H,405
05/21/2022 15H,-102
05/21/2022 14H,-139
05/21/2022 13H,-225
05/21/2022 12H,-397
05/21/2022 11H,-593
05/21/2022 10H,-639
05/21/2022 09H,-558
05/21/2022 08H,-501
05/21/2022 07H,-427
05/21/2022 06H,-368
05/21/2022 05H,-404
05/21/2022 04H,-174
05/21/2022 03H,-51
05/21/2022 02H,-167
05/21/2022 01H,-202
05/21/2022 00H,-230
05/20/2022 23H,-86
05/20/2022 22H,46
05/20/2022 21H,72
05/20/2022 20H,63
05/20/2022 19H,81
05/20/2022 18H,189
05/20/2022 17H,132
05/20/2022 16H,118
05/20/2022 15H,162
05/20/2022 14H,-46
05/20/2022 13H,-66
05/20/2022 12H,-145
05/20/2022 11H,-299
05/20/2022 10H,-301
05/20/2022 09H,-236
05/20/2022 08H,-168
05/20/2022 07H,-118
05/20/2022 06H,34
05/20/2022 05H,-157
05/20/2022 04H,-434
05/20/2022 03H,-244
05/20/2022 02H,-22
05/20/2022 01H,42
05/20/2022 00H,-25
05/19/2022 23H,1
05/19/2022 22H,-96
05/19/2022 21H,-102
05/19/2022 20H,-111
05/19/2022 19H,-188
05/19/2022 18H,-181
05/19/2022 17H,70
05/19/2022 16H,-178
05/19/2022 15H,-307
05/19/2022 14H,-240
05/19/2022 13H,-226
05/19/2022 12H,-251
05/19/2022 11H,-212
05/19/2022 10H,-489
05/19/2022 09H,-343
05/19/2022 08H,-201
05/19/2022 07H,-187
05/19/2022 06H,-233
05/19/2022 05H,-509
05/19/2022 04H,-343
05/19/2022 03H,-275
05/19/2022 02H,-107
05/19/2022 01H,6
05/19/2022 00H,54
05/18/2022 23H,78
05/18/2022 22H,108
05/18/2022 21H,50
05/18/2022 20H,81
05/18/2022 19H,129
05/18/2022 18H,165
05/18/2022 17H,119
05/18/2022 16H,124
05/18/2022 15H,159
05/18/2022 14H,103
05/18/2022 13H,-254
05/18/2022 12H,-532
05/18/2022 11H,-183
05/18/2022 10H,110
05/18/2022 09H,135
05/18/2022 08H,121
05/18/2022 07H,133
05/18/2022 06H,140
05/18/2022 05H,105
05/18/2022 04H,248
05/18/2022 03H,-28
05/18/2022 02H,-60
05/18/2022 01H,-30
05/18/2022 00H,53
05/17/2022 23H,17
05/17/2022 22H,-33
05/17/2022 21H,-226
05/17/2022 20H,-18
05/17/2022 19H,-67
05/17/2022 18H,64
05/17/2022 17H,-70
05/17/2022 16H,-105
05/17/2022 15H,145
05/17/2022 14H,-171
05/17/2022 13H,-357
05/17/2022 12H,-441
05/17/2022 11H,-214
05/17/2022 10H,-337
05/17/2022 09H,-261
05/17/2022 08H,-152
05/17/2022 07H,-199
05/17/2022 06H,-388
05/17/2022 05H,-390
05/17/2022 04H,-448
05/17/2022 03H,-462
05/17/2022 02H,-245
05/17/2022 01H,-214
05/17/2022 00H,-473
05/16/2022 23H,-604
05/16/2022 22H,-628
05/16/2022 21H,-327
05/16/2022 20H,15
05/16/2022 19H,139
05/16/2022 18H,1
05/16/2022 17H,227
05/16/2022 16H,105
05/16/2022 15H,212
05/16/2022 14H,133
05/16/2022 13H,-48
05/16/2022 12H,-37
05/16/2022 11H,-166
05/16/2022 10H,-33
05/16/2022 09H,374
05/16/2022 08H,455
05/16/2022 07H,184
05/16/2022 06H,146
05/16/2022 05H,-36
05/16/2022 04H,-118
05/16/2022 03H,18
05/16/2022 02H,305
05/16/2022 01H,211
05/16/2022 00H,67
05/15/2022 23H,67
05/15/2022 22H,386
05/15/2022 21H,565
05/15/2022 20H,611
05/15/2022 19H,610
05/15/2022 18H,612
05/15/2022 17H,554
05/15/2022 16H,456
05/15/2022 15H,439
05/15/2022 14H,571
05/15/2022 13H,397
05/15/2022 12H,-60
05/15/2022 11H,-125
05/15/2022 10H,-8
05/15/2022 09H,91
05/15/2022 08H,123
05/15/2022 07H,146
05/15/2022 06H,132
05/15/2022 05H,154
05/15/2022 04H,285
05/15/2022 03H,403
05/15/2022 02H,398
05/15/2022 01H,261
05/15/2022 00H,43
05/14/2022 23H,-292
05/14/2022 22H,-373
05/14/2022 21H,-44
05/14/2022 20H,94
05/14/2022 19H,319
05/14/2022 18H,355
05/14/2022 17H,657
05/14/2022 16H,752
05/14/2022 15H,666
05/14/2022 14H,720
05/14/2022 13H,628
05/14/2022 12H,429
05/14/2022 11H,258
05/14/2022 10H,136
05/14/2022 09H,80
05/14/2022 08H,-12
05/14/2022 07H,-160
05/14/2022 06H,-40
05/14/2022 05H,147
05/14/2022 04H,-68
05/14/2022 03H,-408
05/14/2022 02H,-374
05/14/2022 01H,-404
05/14/2022 00H,-90
05/13/2022 23H,239
05/13/2022 22H,368
05/13/2022 21H,476
05/13/2022 20H,583
05/13/2022 19H,655
05/13/2022 18H,475
05/13/2022 17H,385
05/13/2022 16H,295
05/13/2022 15H,250
05/13/2022 14H,181
05/13/2022 13H,92
05/13/2022 12H,190
05/13/2022 11H,34
05/13/2022 10H,-139
05/13/2022 09H,-228
05/13/2022 08H,-166
05/13/2022 07H,-289
05/13/2022 06H,-335
05/13/2022 05H,-144
05/13/2022 04H,70
05/13/2022 03H,121
05/13/2022 02H,-18
05/13/2022 01H,-182
05/13/2022 00H,-205
05/12/2022 23H,-98
05/12/2022 22H,86
05/12/2022 21H,461
05/12/2022 20H,784
05/12/2022 19H,837
05/12/2022 18H,830
05/12/2022 17H,826
05/12/2022 16H,778
05/12/2022 15H,805
05/12/2022 14H,768
05/12/2022 13H,548
05/12/2022 12H,368
05/12/2022 11H,343
05/12/2022 10H,331
05/12/2022 09H,88
05/12/2022 08H,28
05/12/2022 07H,161
05/12/2022 06H,103
05/12/2022 05H,196
05/12/2022 04H,330
05/12/2022 03H,499
05/12/2022 02H,541
